Age,Country
0,afghanistan
42,afghanistan
26,afghanistan
48,afghanistan
25,afghanistan
73,afghanistan
22,afghanistan
0,afghanistan
32,afghanistan
71,afghanistan
42,afghanistan
23,afghanistan
80,afghanistan
0,afghanistan
0,afghanistan
0,afghanistan
25,afghanistan
31,afghanistan
21,afghanistan
0,afghanistan
14,afghanistan
65,afghanistan
18,afghanistan
58,afghanistan
4,afghanistan
0,afghanistan
26,afghanistan
2,afghanistan
25,afghanistan
31,afghanistan
35,afghanistan
0,ahrensburg
60,alachua
22,albania
19,albania
22,albania
0,albania
21,albania
0,albania
28,albania
30,albania
16,albania
0,albania
36,albania
25,albania
41,albania
0,albania
26,albania
34,albania
53,albania
0,albania
28,albania
0,albania
27,albania
20,albania
0,albania
16,albania
0,albania
34,albania
0,albania
0,albania
0,albania
47,albania
25,albania
34,alderney
0,alderney
50,alderney
20,alderney
0,alderney
6,alderney
44,alderney
32,alderney
0,alderney
0,alderney
0,algeria
37,algeria
29,algeria
36,algeria
33,algeria
56,algeria
28,algeria
0,algeria
28,algeria
34,algeria
55,algeria
44,algeria
18,algeria
36,algeria
37,algeria
44,algeria
36,algeria
57,algeria
0,algeria
28,algeria
28,algeria
37,algeria
52,algeria
36,algeria
28,algeria
20,algeria
17,algeria
18,algeria
19,algeria
70,allen
27,ama lurra
26,america
0,america
0,american samoa
0,american samoa
14,andorra
0,andorra
31,andorra
17,andorra
31,andorra
26,andorra
52,andorra
31,andorra
23,andorra
48,andorra
28,andorra
64,andorra
26,andorra
26,andorra
28,andorra
37,andorra
28,andorra
38,andorra
34,andorra
38,andorra
42,andorra
35,andorra
34,andorra
34,andorra
29,andorra
25,andorra
53,andorra
25,andorra
27,andorra
40,andorra
21,andorra
16,andorra
0,andorra
27,andorra
29,andorra
0,andorra
20,andorra
39,andorra
0,andorra
26,andorra
27,andorra
29,andorra
51,angola
19,angola
17,angola
0,angola
41,angola
36,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
0,antarctica
45,antarctica
0,antarctica
26,antarctica
0,antarctica
40,antarctica
0,antarctica
0,antarctica
28,antigua and barbuda
18,antigua and barbuda
0,antigua and barbuda
79,antigua and barbuda
23,antigua and barbuda
69,antigua and barbuda
34,antigua and barbuda
35,antigua and barbuda
31,antigua and barbuda
35,aotearoa
36,argentina
28,argentina
27,argentina
33,argentina
38,argentina
39,argentina
18,argentina
51,argentina
49,argentina
39,argentina
31,argentina
22,argentina
46,argentina
21,argentina
47,argentina
31,argentina
20,argentina
32,argentina
31,argentina
0,argentina
33,argentina
16,argentina
45,argentina
29,argentina
25,argentina
61,argentina
17,argentina
0,argentina
25,argentina
34,argentina
37,argentina
39,argentina
17,argentina
34,argentina
25,argentina
18,argentina
19,argentina
35,argentina
35,argentina
25,argentina
25,argentina
17,argentina
29,argentina
18,argentina
45,argentina
23,argentina
23,argentina
32,argentina
35,argentina
32,argentina
23,argentina
19,argentina
0,argentina
31,argentina
18,argentina
39,argentina
32,argentina
18,argentina
0,argentina
33,argentina
0,argentina
0,argentina
23,argentina
47,argentina
0,argentina
47,argentina
31,argentina
36,argentina
21,argentina
45,argentina
19,argentina
37,argentina
36,argentina
19,argentina
34,argentina
18,argentina
34,argentina
40,argentina
15,argentina
54,argentina
20,argentina
36,argentina
34,argentina
38,argentina
37,argentina
47,argentina
17,argentina
0,argentina
24,argentina
14,argentina
36,argentina
30,argentina
32,argentina
25,argentina
28,argentina
39,argentina
51,argentina
23,argentina
42,argentina
27,argentina
61,argentina
38,argentina
29,argentina
44,argentina
0,argentina
35,argentina
0,argentina
21,argentina
29,argentina
52,argentina
34,argentina
37,argentina
20,argentina
29,argentina
40,argentina
37,argentina
37,argentina
41,argentina
31,argentina
71,argentina
15,argentina
25,argentina
57,argentina
42,argentina
0,argentina
44,argentina
25,argentina
54,argentina
54,argentina
32,argentina
21,argentina
64,argentina
26,argentina
50,argentina
0,argentina
0,argentina
22,argentina
54,argentina
0,argentina
33,argentina
34,argentina
31,argentina
24,argentina
0,argentina
17,argentina
26,argentina
34,argentina
32,argentina
68,argentina
39,argentina
41,argentina
33,argentina
30,argentina
31,argentina
18,argentina
20,argentina
48,argentina
39,argentina
22,argentina
43,argentina
16,argentina
0,argentina
32,argentina
1,argentina
28,argentina
35,argentina
54,argentina
0,argentina
23,argentina
33,argentina
27,argentina
39,argentina
43,argentina
72,argentina
35,argentina
0,argentina
16,argentina
34,argentina
48,argentina
29,argentina
32,argentina
39,argentina
18,argentina
35,argentina
23,argentina
30,argentina
25,argentina
26,argentina
62,argentina
18,argentina
0,argentina
36,argentina
72,argentina
31,argentina
31,argentina
48,argentina
43,argentina
33,argentina
20,argentina
49,argentina
36,argentina
25,argentina
33,argentina
22,argentina
39,argentina
39,argentina
29,argentina
39,argentina
53,argentina
30,argentina
37,argentina
42,argentina
37,argentina
24,argentina
0,argentina
42,argentina
49,argentina
35,argentina
21,argentina
31,argentina
39,argentina
24,argentina
0,argentina
31,argentina
52,argentina
0,argentina
16,argentina
39,argentina
34,argentina
54,argentina
27,argentina
23,argentina
34,argentina
32,argentina
42,argentina
32,argentina
0,argentina
26,argentina
22,argentina
20,argentina
0,argentina
29,argentina
15,argentina
44,argentina
17,argentina
26,argentina
36,argentina
30,argentina
29,argentina
38,argentina
53,argentina
48,argentina
21,argentina
43,argentina
17,argentina
34,argentina
59,argentina
19,argentina
13,argentina
33,argentina
21,argentina
32,argentina
14,argentina
52,argentina
30,argentina
37,argentina
29,argentina
23,argentina
38,argentina
25,argentina
46,argentina
20,argentina
40,argentina
33,argentina
29,argentina
0,argentina
33,argentina
47,argentina
34,argentina
35,argentina
15,argentina
0,argentina
26,argentina
30,argentina
41,argentina
43,argentina
20,argentina
0,argentina
18,argentina
26,argentina
0,argentina
0,argentina
29,argentina
41,argentina
35,argentina
24,argentina
37,argentina
20,argentina
27,argentina
17,argentina
32,argentina
18,argentina
20,argentina
23,argentina
14,argentina
46,argentina
23,argentina
33,argentina
25,argentina
25,argentina
39,argentina
0,argentina
0,argentina
